X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,PermitType,FeatureType,RMASection,ActivityText,Location,fmDate,toDate,GIS_TerritorialAuthority,GIS_Catchment,GIS_CWMSZone,GIS_Runanga,NZTMX,NZTMY
1461288.8539,5088160.4159,CRC 165726.00,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Human Effluent,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Aorangi Road, Timaru",2016-03-03,2042-12-18,Timaru District,6970000 - Levels and Seadown Plains Area,Orari-Temuka-Opihi-Pareora,Arowhenua,1461288,5088160
1529697.3939,5144556.9856,CRC 121208.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"1369 Acton Road, DORIE",2012-01-09,2047-01-09,Ashburton District,6860500 - Pendarves Area,Ashburton,Arowhenua,1529697,5144556
1570499.7104,5178888.6598,CRC 972570.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Other Industry/Trade,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"47 Sandyford Street, CHRISTCHURCH",1997-09-05,2032-09-03,Christchurch City,6668000 - Avon River,Christchurch - West Melton,Tuahuriri,1570499,5178888
1504660.2854,5176185.3926,CRC 103362.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Rakaia Terrace Road, TE PIRATA",2010-11-17,2045-11-16,Selwyn District,6822100 - Washpen Creek Water Race,Selwyn - Waihora,Taumutu,1504660,5176185
1584373.9261,5264210.1766,CRC 176477.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"148 The Avenue, Culverden",2017-06-14,2030-05-05,Hurunui District,6510700 - Pahau River,Hurunui - Waiau,Kaikoura,1584373,5264210
1584373.9261,5264210.1766,CRC 176477.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"148 The Avenue, Culverden",2017-06-14,2030-05-05,Hurunui District,6510700 - Pahau River,Hurunui - Waiau,Kaikoura,1584373,5264210
1570189.7857,5180208.1394,CRC 1476.10,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Art Gallery Site, Cnr Worcester & Montreal Streets, CHRISTCHURCH",2005-06-16,2035-10-04,Christchurch City,6668000 - Avon River,Christchurch - West Melton,Tuahuriri,1570189,5180208
1550856.3393,5204489.3588,CRC 121137.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"1579 Cust Road, CUST",2012-02-13,2047-02-10,Waimakariri District,6640440 - Cust River,Waimakariri,Tuahuriri,1550856,5204489
1567770.9719,5174250.3396,CRC 61884.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"3 Sedbergh Place, WESTMORLAND",2005-12-05,2040-12-03,Christchurch City,6664900 - Cashmere Stream,Christchurch - West Melton,Tuahuriri,1567770,5174250
1567270.7453,5185665.9892,CRC 135598.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"11A Kimberley Street, CASEBROOK",2013-01-22,2040-06-29,Christchurch City,6640180 - Boundary Road Drain,Christchurch - West Melton,Tuahuriri,1567270,5185665
1460989.8677,5082940.1323,CRC 157542.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Other Industry/Trade,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Port Loop Road, Port of Timaru",2015-06-19,2050-06-19,Timaru District,6990400 - Taitarakihi Creek,Orari-Temuka-Opihi-Pareora,Arowhenua,1460989,5082940
1544789.7528,5167901.1284,CRC 90678.10,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"69 Burnham Road, CHRISTCHURCH",2012-07-06,2044-05-26,Selwyn District,6821400 - Waimakariri Water Race,Selwyn - Waihora,Taumutu,1544789,5167901
1597064.8465,5271143.2164,CRC 193895.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"136 Mt Palm Road, ROTHERHAM",2019-03-07,2046-12-08,Hurunui District,6460000 - Waiau River,Hurunui - Waiau,Kaikoura,1597064,5271143
1460392.5803,5087841.012,CRC 200154.00,Discharge Permit (s15),New Consent,Issued - Inactive,RMA Authorisation,Discharge Point,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"144 Meadows Road, Washdyke",2020-05-06,2040-05-06,Timaru District,6970000 - Levels and Seadown Plains Area,Orari-Temuka-Opihi-Pareora,Arowhenua,1460392,5087841
1562602.5038,5184886.1761,CRC 961923.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Christchurch International Airport, Memorial Avenue, HAREWOOD",1997-07-17,2032-05-21,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1562602,5184886
1562602.5038,5184886.1761,CRC 961923.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Christchurch International Airport, Memorial Avenue, HAREWOOD",1997-07-17,2032-05-21,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1562602,5184886
1562602.5038,5184886.1761,CRC 961923.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Christchurch International Airport, Memorial Avenue, HAREWOOD",1997-07-17,2032-05-21,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1562602,5184886
1562602.5038,5184886.1761,CRC 961923.00,Discharge Permit (s15),Renewal,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Christchurch International Airport, Memorial Avenue, HAREWOOD",1997-07-17,2032-05-21,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1562602,5184886
1571770.8174,5207850.5136,CRC 150053.00,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"90 Saltwater Creek Road, Sefton",2014-08-29,2045-10-13,Waimakariri District,6620310 - Little Ashley,Waimakariri,Tuahuriri,1571770,5207850
1460129.1846,5087449.8288,CRC 52662.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"5 Elginshire Street, TIMARU",2005-07-08,2030-07-08,Timaru District,6970000 - Levels and Seadown Plains Area,Orari-Temuka-Opihi-Pareora,Arowhenua,1460129,5087449
1563022.5542,5179248.2523,CRC 41368.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"10 Gerald Connolly Place, SOCKBURN",2004-03-05,2039-03-04,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1563022,5179248
1564801.6899,5184906.2204,CRC 190161.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"558 Wairakei Road, CHRISTCHURCH",2018-07-06,2046-09-07,Christchurch City,6668800 - Wairarapa Stream,Christchurch - West Melton,Tuahuriri,1564801,5184906
1461260.3787,5083889.5023,CRC 192831.00,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"Hall Street, Timaru",2019-03-07,2030-10-04,Timaru District,6990400 - Taitarakihi Creek,Orari-Temuka-Opihi-Pareora,Arowhenua,1461260,5083889
1499293.7534,5155639.3623,CRC 84913.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Thompsons Track, LAURISTON",2009-03-12,2044-03-11,Ashburton District,6860000 - Dry Creek,Ashburton,Arowhenua,1499293,5155639
1512638.6495,5172806.8714,CRC 80698.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Te Pirita Road, TE PIRITA",2007-12-06,2042-12-04,Selwyn District,6822200 - Glenray Water Race,Selwyn - Waihora,Taumutu,1512638,5172806
1572069.1351,5177729.1677,CRC 41723.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"152 RiverlawTerrace, ST MARTINS",2004-03-11,2039-03-10,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1572069,5177729
1570269.9299,5175609.926,CRC 61143.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"5A Whareora Terrace, CASHMERE",2005-10-18,2040-10-17,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1570269,5175609
1566311.4192,5176739.3226,CRC 41838.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"19 Stanton Crescent, HOON HAY",2004-03-15,2039-03-12,Christchurch City,6664940 - Hendersons Drain,Christchurch - West Melton,Tuahuriri,1566311,5176739
1491815.2253,5156258.157,CRC 83126.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"1674 Thompsons Track, METHVEN",2008-07-11,2043-07-08,Ashburton District,6880320 - Mt Harding Stream,Ashburton,Arowhenua,1491815,5156258
1454018.5295,5068958.8271,CRC 70964.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"122 Old Station Road, ST ANDREWS",2006-11-09,2041-11-09,Waimate District,7020000 - Lyalldale Creeks,Orari-Temuka-Opihi-Pareora,Waihao,1454018,5068958
1502896.1612,5172530.559,CRC 154819.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"66 Sleemans Road, Hororata",2015-03-04,2030-03-04,Selwyn District,6822000 - Snowdon Water Race,Selwyn - Waihora,Taumutu,1502896,5172530
1571799.5915,5170002.2159,CRC 111853.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"55 Main Road, GOVERNORS BAY",2011-06-23,2046-06-23,Christchurch City,6670320 - Marleys Hill,Banks Peninsula,Rapaki,1571799,5170002
1535412.1476,5202060.4587,CRC 163194.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"357 Woodstock Road, Oxford",2015-10-19,2030-02-16,Waimakariri District,6650200 - Waimakariri Water Race,Waimakariri,Tuahuriri,1535412,5202060
1494354.4587,5136768.3779,CRC 193922.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Discharge Point,s15(2A) Other Discharge to Air,Discharge Contaminant into Air,"226 Frasers Road, Ashburton",2019-04-10,2029-04-10,Ashburton District,6890000 - Westerfield Plains Area,Ashburton,Arowhenua,1494354,5136768
1522748.1508,5153513.21,CRC 980565.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Human Effluent,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Acton Road, RAKAIA",1998-03-13,2033-03-11,Ashburton District,6860500 - Pendarves Area,Ashburton,Arowhenua,1522748,5153513
1563872.2423,5179098.34,CRC 30290.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"175 Main South Road, CHRISTCHURCH",2002-09-23,2037-09-20,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1563872,5179098
1576027.5729,5177109.5511,CRC 32232.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"4/c Settlers Crescent, FERRYMEAD",2009-04-07,2038-09-03,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1576027,5177109
1576637.1333,5184816.499,CRC 54660.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"57 Flemington Avenue, QUEENSPARK",2005-06-30,2040-06-29,Christchurch City,6660010 - New Brighton Beach,Christchurch - West Melton,Tuahuriri,1576637,5184816
1623436.2222,5267202.8657,CRC 166083.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"201 Waiau East Road, Spotswood",2016-06-16,2031-06-16,Hurunui District,6460000 - Waiau River,Hurunui - Waiau,Kaikoura,1623436,5267202
1523099.3678,5144745.8573,CRC 82420.10,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Mainwarings Road, Gardiners Road & Awaroa School Road, DORIE",2012-09-04,2043-05-13,Ashburton District,6860500 - Pendarves Area,Ashburton,Arowhenua,1523099,5144745
1532390.987,5156851.9332,CRC 162968.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Intensive Farming,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Glasseys Road, Southbridge (Lot 1 DP 35361)",2016-10-04,2051-10-04,Selwyn District,6820400 - Rakaia II Water Race,Selwyn - Waihora,Taumutu,1532390,5156851
1609237.8673,5249649.7566,CRC 90489.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Domett Road, CHEVIOT",2008-11-24,2043-11-21,Hurunui District,6510300 - Greta River,Hurunui - Waiau,Tuahuriri,1609237,5249649
1492536.5505,5147120.052,CRC 157700.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Ashburton Staveley Road, ASHBURTON",2015-06-08,2046-11-21,Ashburton District,6880300 - Ashburton River South Branch,Ashburton,Arowhenua,1492536,5147120
1449881.7782,5031650.4218,CRC 167112.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"206 Crowes Road, MORVEN",2016-03-22,2045-12-21,Waimate District,7100000 - Morven Drain,Lower Waitaki - South Coastal Canterbury,Waihao,1449881,5031650
1565611.7998,5174380.1885,CRC 54407.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"4 Macartney Avenue, HALSWELL",2005-06-15,2040-06-14,Christchurch City,6664960 - Milnes Road Drain,Christchurch - West Melton,Tuahuriri,1565611,5174380
1560383.7759,5174389.9211,CRC 204869.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"578 Springs Road, PREBBLETON",2020-06-16,2039-09-01,Selwyn District,6782410 - Dawsons Creek,Selwyn - Waihora,Taumutu,1560383,5174389
1454299.6778,5033863.2186,CRC 1258.10,Discharge Permit (s15),Change in Conditions,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Morris Rd, MORVEN",2011-11-29,2035-02-14,Waimate District,7100000 - Morven Drain,Lower Waitaki - South Coastal Canterbury,Waihao,1454299,5033863
1571899.1375,5179588.4349,CRC 962051.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"412-420 St Asaph Street, LINWOOD",2003-05-01,2031-06-05,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1571899,5179588
1568700.1742,5187015.5121,CRC 50489.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"9 Hemsworth Mews, REDWOOD",2010-03-10,2039-09-29,Christchurch City,6640170 - Railway Styx Drain,Christchurch - West Melton,Tuahuriri,1568700,5187015
1475626.253,5171383.6314,CRC 71214.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Carneys Road, ALFORD FOREST",2007-02-01,2042-02-01,Ashburton District,6880500 - Taylors Stream,Ashburton,Arowhenua,1475626,5171383
1560694.2518,5186148.0598,CRC 194825.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Discharge Point,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"405 McLeans Island Road, McLeans Island",2022-11-09,2037-11-09,Christchurch City,6820900 - Waimakariri Water Race,Christchurch - West Melton,Tuahuriri,1560694,5186148
1564801.8804,5179388.2664,CRC 182501.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"75-89 Main South Road, HORNBY",2017-11-14,2033-04-29,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564801,5179388
1564801.8804,5179388.2664,CRC 182501.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"75-89 Main South Road, HORNBY",2017-11-14,2033-04-29,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564801,5179388
1564801.8804,5179388.2664,CRC 182501.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"75-89 Main South Road, HORNBY",2017-11-14,2033-04-29,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564801,5179388
1564801.8804,5179388.2664,CRC 182501.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"75-89 Main South Road, HORNBY",2017-11-14,2033-04-29,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564801,5179388
1564801.8804,5179388.2664,CRC 182501.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"75-89 Main South Road, HORNBY",2017-11-14,2033-04-29,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564801,5179388
1564801.8804,5179388.2664,CRC 182501.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"75-89 Main South Road, HORNBY",2017-11-14,2033-04-29,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564801,5179388
1564801.8804,5179388.2664,CRC 182501.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"75-89 Main South Road, HORNBY",2017-11-14,2033-04-29,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564801,5179388
1564801.8804,5179388.2664,CRC 182501.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Large Scale Burner,Unknown,Unknown,"75-89 Main South Road, HORNBY",2017-11-14,2033-04-29,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564801,5179388
1571499.2531,5180887.9174,CRC 961724.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"356 Oxford Terrace, CHRISTCHURCH",1999-09-03,2034-09-02,Christchurch City,6668000 - Avon River,Christchurch - West Melton,Tuahuriri,1571499,5180887
1571499.2531,5180887.9174,CRC 961724.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"356 Oxford Terrace, CHRISTCHURCH",1999-09-03,2034-09-02,Christchurch City,6668000 - Avon River,Christchurch - West Melton,Tuahuriri,1571499,5180887
1574148.3308,5177079.4984,CRC 63835.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Other Industry/Trade,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"65A Maunsell Street, WOOLSTON",2006-08-31,2041-08-31,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1574148,5177079
1575697.633,5179438.609,CRC 21659.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"40 Wickham Street, BROMLEY",2002-04-22,2037-04-19,Christchurch City,6666000 - Charlesworth Drain,Christchurch - West Melton,Tuahuriri,1575697,5179438
1547570.2249,5153326.4882,CRC 111519.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"143 Drain Road, LEESTON",2011-06-20,2046-06-17,Selwyn District,6832100 - Hurford Drain,Selwyn - Waihora,Taumutu,1547570,5153326
1529677.1636,5165505.3941,CRC 152338.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"205 Wrights Road, Leeston",2014-08-29,2033-12-03,Selwyn District,6820100 - Hororata Water Race,Selwyn - Waihora,Taumutu,1529677,5165505
1564403.0391,5178736.5994,CRC 164566.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"35-41 Hayton Road, Sockburn, Christchurch",2016-02-18,2026-02-18,Christchurch City,6664000 - Heathcote River,Christchurch - West Melton,Tuahuriri,1564403,5178736
1463437.8676,5117887.7922,CRC 30569.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Intensive Farming,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Seaward Road, GERALDINE",2002-11-13,2037-11-08,Timaru District,6950000 - Orari River,Orari-Temuka-Opihi-Pareora,Arowhenua,1463437,5117887
1461938.7678,5087950.5524,CRC 960313.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Aorangi Road, WASHDYKE",2000-01-24,2025-01-21,Timaru District,6970000 - Levels and Seadown Plains Area,Orari-Temuka-Opihi-Pareora,Arowhenua,1461938,5087950
1575827.5898,5179128.7363,CRC 991747.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Powder Coating,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Dyers Road, CHRISTCHURCH",2000-02-10,2035-02-09,Christchurch City,6666000 - Charlesworth Drain,Christchurch - West Melton,Tuahuriri,1575827,5179128
1574978.0309,5176149.8991,CRC 111063.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"1 Caerphilly Place, WOOLSTON",2011-02-10,2046-02-09,Christchurch City,6664100 - Truscotts Road Outfall,Christchurch - West Melton,Tuahuriri,1574978,5176149
1566051.5133,5176859.2664,CRC 54682.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"20 Wolsey Place, HILLMORTON",2005-06-29,2040-06-29,Christchurch City,6664940 - Hendersons Drain,Christchurch - West Melton,Tuahuriri,1566051,5176859
1575537.6971,5179438.6044,CRC 982136.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Spraypainting,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"53 Wickham Street, LINWOOD",2006-08-11,2033-09-02,Christchurch City,6666000 - Charlesworth Drain,Christchurch - West Melton,Tuahuriri,1575537,5179438
1579966.0574,5174130.9042,CRC 42266.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"90 Upper Sumnervale Drive, SUMNER",2004-05-11,2039-05-10,Christchurch City,6671300 - Sumner,Christchurch - West Melton,Tuahuriri,1579966,5174130
1575247.8302,5178878.8187,CRC 51384.10,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"7 Seascape Gardens, WOOLSTON",2012-07-05,2039-11-29,Christchurch City,6665000 - Linwood Ave Canal,Christchurch - West Melton,Tuahuriri,1575247,5178878
1563881.8677,5192283.5278,CRC 81158.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"609 South Eyre Road, EYRETON",2007-10-23,2042-10-17,Waimakariri District,6640400 - Kaiapoi River,Waimakariri,Tuahuriri,1563881,5192283
1571069.6608,5262550.7608,CRC 146503.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Waste Management Proc,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"618 Tekoa Road, Balmoral",2014-06-24,2029-06-24,Hurunui District,6510000 - Hurunui River,Hurunui - Waiau,Kaikoura,1571069,5262550
1502554.5823,5145902.0631,CRC 150706.00,Discharge Permit (s15),Full Transfer,Issued - Active,RMA Authorisation,Animal Effluent Spreading,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"Winchmore Dromore Rd, ASHBURTON",2014-06-26,2037-09-30,Ashburton District,6860400 - Winchmore-Somerton Area,Ashburton,Arowhenua,1502554,5145902
1573908.3462,5179488.5367,CRC 72832.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Large Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"320 Linwood Avenue, LINWOOD",2007-06-11,2042-06-07,Christchurch City,6665000 - Linwood Ave Canal,Christchurch - West Melton,Tuahuriri,1573908,5179488
1575707.4226,5194902.5704,CRC 54358.00,Discharge Permit (s15),New Consent,Issued - Active,RMA Authorisation,Small Scale Burner,s15(1)(c) Industrial Discharge to Air,Discharge Contaminant into Air,"9 Shammys Place, BROOKLANDS",2005-06-07,2040-06-03,Christchurch City,6640010 - Brooklands Lagoon,Christchurch - West Melton,Tuahuriri,1575707,5194902
